string,size,runtimes
problem201,1,1.7878341674804688
problem101,1,1.703385353088379
problem1,1,1.057727575302124
problem301,1,1.0374579429626465
problem401,1,0.979625940322876
problem302,2,23.330538749694824
problem202,2,2.9515600204467773
problem402,2,3.878322124481201
problem2,2,7.843473434448242
problem102,2,10.231454372406006
problem203,3,9.330911874771118
problem403,3,4.415139436721802
problem3,3,4.544595003128052
problem303,3,5.903262615203857
problem103,3,4.480607748031616
problem204,4,24.169421911239624
problem304,4,8.13337516784668
problem404,4,8.937270641326904
problem104,4,11.216983318328857
problem4,4,8.761498212814331
problem305,5,12.06746792793274
problem205,5,26.151827573776245
problem5,5,11.974206686019897
problem405,5,15.365591526031494
problem105,5,11.364337921142578
problem206,6,20.770857572555542
problem406,6,17.952208757400513
problem106,6,44.60697078704834
problem306,6,14.007608413696289
problem6,6,27.633623600006104
problem107,7,23.542263746261597
problem307,7,288.1149697303772
problem207,7,30.946043968200684
problem407,7,29.07467770576477
problem7,7,33.66516470909119
problem308,8,58.292418479919434
problem108,8,77.38748669624329
problem208,8,63.6291298866272
problem408,8,35.03008770942688
problem8,8,29.27341890335083
problem109,9,72.33961343765259
problem9,9,73.42058563232422
problem409,9,87.76980328559875
problem209,9,81.84933042526245
problem309,9,48.43484020233154
problem210,10,76.10477495193481
problem10,10,80.47969484329224
problem310,10,64.5585708618164
problem410,10,256.09550046920776
problem110,10,79.31028938293457
problem311,11,216.57296991348267
problem211,11,86.94740509986877
problem11,11,114.87923336029053
problem411,11,113.84156703948975
problem111,11,139.6504876613617
problem412,12,195.88318419456482
problem112,12,629.4799945354462
problem12,12,156.09184980392456
problem312,12,157.0616569519043
problem212,12,117.70841431617737
problem413,13,162.2198405265808
problem213,13,225.59775376319885
problem13,13,299.74134373664856
problem113,13,284.2289674282074
problem313,13,403.7224175930023
problem214,14,270.71232533454895
problem414,14,977.3108315467834
problem14,14,280.90935039520264
problem114,14,200.47473978996277
problem314,14,478.8375291824341
problem215,15,281.39436435699463
problem115,15,448.4219059944153
problem315,15,301.43128395080566
problem15,15,453.87043142318726
